state,district,date,income_mean,income_median,year,poverty_absolute,poverty_relative,gini,piped_water,sanitation,electricity
Sarawak,Sri Aman,2022-01-01,4881,3704,2022,8.9,28.4,0.395,84.7,100.0,97.9
Sarawak,Subis,2019-01-01,5528,4336,2019,7.5,10.0,0.347,86.4,100.0,100.0
Sarawak,Subis,2022-01-01,6390,5194,2022,4.7,14.0,0.341,67.4,100.0,100.0
Sarawak,Tanjung Manis,2019-01-01,3849,2944,2019,3.4,25.0,0.345,81.7,100.0,100.0
Sarawak,Tanjung Manis,2022-01-01,4017,3300,2022,20.7,33.7,0.334,92.4,100.0,100.0
Sarawak,Tatau,2019-01-01,5345,4638,2019,5.0,8.7,0.291,50.0,100.0,100.0
Sarawak,Tatau,2022-01-01,5617,4787,2022,5.9,14.1,0.303,63.7,100.0,77.8
Sarawak,Tebedu,2019-01-01,3439,2614,2019,38.6,40.3,0.37,36.2,100.0,100.0
Sarawak,Tebedu,2022-01-01,3218,2579,2022,26.9,44.1,0.312,44.1,100.0,91.4
Sarawak,Telang Usan,2019-01-01,4415,3375,2019,13.6,23.7,0.358,32.1,100.0,100.0
Sarawak,Telang Usan,2022-01-01,4692,3870,2022,6.0,20.5,0.311,57.8,100.0,92.8
Selangor,Gombak,2019-01-01,11536,8501,2019,0.4,14.5,0.402,100.0,100.0,100.0
Selangor,Gombak,2022-01-01,13523,10180,2022,2.4,13.8,0.392,100.0,100.0,100.0
Selangor,Klang,2019-01-01,9980,7888,2019,1.7,16.6,0.378,100.0,100.0,100.0
Selangor,Klang,2022-01-01,10278,8203,2022,2.2,20.3,0.347,100.0,99.9,100.0
Selangor,Kuala Langat,2019-01-01,8375,6950,2019,2.4,19.7,0.336,100.0,100.0,100.0
Selangor,Kuala Langat,2022-01-01,11048,10093,2022,0.3,9.4,0.277,100.0,100.0,100.0
Selangor,Kuala Selangor,2019-01-01,7866,5855,2019,3.5,30.4,0.4,100.0,100.0,100.0
Selangor,Kuala Selangor,2022-01-01,9410,7644,2022,2.8,25.2,0.346,,100.0,100.0
Selangor,Petaling,2019-01-01,12145,8993,2019,1.1,14.4,0.409,100.0,100.0,100.0
Selangor,Petaling,2022-01-01,12760,9618,2022,1.6,14.9,0.392,100.0,100.0,100.0
Selangor,Sabak Bernam,2019-01-01,6042,4454,2019,4.7,46.2,0.391,100.0,100.0,100.0
Selangor,Sabak Bernam,2022-01-01,6930,5533,2022,5.3,42.6,0.321,100.0,100.0,100.0
Selangor,Sepang,2019-01-01,12254,8937,2019,0.7,7.9,0.397,100.0,100.0,100.0
Selangor,Sepang,2022-01-01,13673,12608,2022,0.0,3.4,0.229,100.0,100.0,100.0
Selangor,Ulu Langat,2019-01-01,10252,8361,2019,0.6,10.5,0.338,,,
Selangor,Ulu Langat,2022-01-01,13386,11210,2022,0.5,7.0,0.326,,,
Selangor,Ulu Selangor,2019-01-01,7598,6249,2019,1.5,26.6,0.339,,,
Selangor,Ulu Selangor,2022-01-01,8779,7678,2022,1.7,23.9,0.297,,,
Terengganu,Besut,2019-01-01,5819,4527,2019,10.1,9.5,0.332,83.4,100.0,100.0
Terengganu,Besut,2022-01-01,6285,4743,2022,12.7,11.3,0.33,93.8,100.0,100.0
Terengganu,Dungun,2019-01-01,7564,6044,2019,5.1,6.1,0.341,98.1,100.0,100.0
Terengganu,Dungun,2022-01-01,7902,6356,2022,2.2,2.4,0.308,99.4,100.0,100.0
Terengganu,Hulu Terengganu,2019-01-01,5363,4368,2019,7.9,19.7,0.339,99.2,100.0,100.0
Terengganu,Hulu Terengganu,2022-01-01,5821,5090,2022,10.8,16.2,0.293,99.4,100.0,100.0
Terengganu,Kemaman,2019-01-01,7854,6592,2019,4.6,5.6,0.346,99.8,100.0,100.0
Terengganu,Kemaman,2022-01-01,8381,6425,2022,4.1,5.8,0.378,100.0,100.0,100.0
Terengganu,Kuala Nerus,2019-01-01,7647,6730,2019,5.4,7.9,0.316,96.2,100.0,100.0
Terengganu,Kuala Nerus,2022-01-01,7983,6800,2022,1.9,3.5,0.273,99.4,100.0,100.0
Terengganu,Kuala Terengganu,2019-01-01,6691,5614,2019,4.4,4.8,0.298,97.9,100.0,100.0
Terengganu,Kuala Terengganu,2022-01-01,7109,5872,2022,5.9,5.0,0.3,98.6,100.0,100.0
Terengganu,Marang,2019-01-01,5928,5060,2019,8.2,12.0,0.31,97.3,100.0,100.0
Terengganu,Marang,2022-01-01,6357,5291,2022,9.0,11.8,0.325,99.4,100.0,100.0
Terengganu,Setiu,2019-01-01,5600,4231,2019,6.5,11.1,0.329,98.5,100.0,100.0
Terengganu,Setiu,2022-01-01,6030,5211,2022,7.5,6.0,0.275,97.2,100.0,100.0
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2019-01-01,13257,10549,2019,0.2,10.6,0.35,100.0,100.0,100.0
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022-01-01,13325,10234,2022,1.4,12.7,0.38,100.0,100.0,100.0
W.P. Labuan,W.P. Labuan,2019-01-01,8319,6726,2019,3.1,12.9,0.333,100.0,99.26,100.0
W.P. Labuan,W.P. Labuan,2022-01-01,8250,6904,2022,2.5,7.0,0.3,100.0,100.0,100.0
W.P. Putrajaya,W.P. Putrajaya,2019-01-01,12840,9983,2019,0.4,12.1,0.361,100.0,100.0,100.0
W.P. Putrajaya,W.P. Putrajaya,2022-01-01,13473,10056,2022,0.1,11.4,0.368,100.0,100.0,100.0
