state,district,date,income_mean,income_median,year,poverty_absolute,poverty_relative,gini,piped_water,sanitation,electricity
Kelantan,Pasir Puteh,2022-01-01,4712,3453,2022,15.9,12.3,0.378,68.5,99.76,100.0
Kelantan,Tanah Merah,2019-01-01,4338,3166,2019,12.0,8.9,0.346,74.8,100.0,100.0
Kelantan,Tanah Merah,2022-01-01,4177,2991,2022,17.9,14.7,0.377,70.7,99.77,100.0
Kelantan,Tumpat,2019-01-01,4838,3500,2019,12.5,8.7,0.374,66.9,100.0,100.0
Kelantan,Tumpat,2022-01-01,4741,3749,2022,13.5,11.2,0.367,70.8,100.0,100.0
Melaka,Alor Gajah,2019-01-01,7050,5907,2019,3.8,18.8,0.356,100.0,100.0,100.0
Melaka,Alor Gajah,2022-01-01,7235,5611,2022,4.8,14.1,0.343,100.0,100.0,100.0
Melaka,Jasin,2019-01-01,7340,5640,2019,3.0,17.4,0.386,100.0,100.0,100.0
Melaka,Jasin,2022-01-01,7145,5895,2022,5.5,16.0,0.332,100.0,100.0,100.0
Melaka,Melaka Tengah,2019-01-01,8100,6250,2019,4.2,16.2,0.389,100.0,100.0,100.0
Melaka,Melaka Tengah,2022-01-01,8593,6557,2022,3.7,12.2,0.383,100.0,100.0,100.0
Negeri Sembilan,Jelebu,2019-01-01,5414,3976,2019,5.2,18.4,0.379,100.0,100.0,100.0
Negeri Sembilan,Jelebu,2022-01-01,4445,3636,2022,7.3,29.9,0.326,95.1,100.0,100.0
Negeri Sembilan,Jempol,2019-01-01,4926,3676,2019,6.2,14.4,0.344,100.0,100.0,100.0
Negeri Sembilan,Jempol,2022-01-01,4848,3830,2022,8.0,21.8,0.331,100.0,100.0,100.0
Negeri Sembilan,Kuala Pilah,2019-01-01,5040,3587,2019,8.3,23.0,0.366,100.0,100.0,100.0
Negeri Sembilan,Kuala Pilah,2022-01-01,4509,3471,2022,6.8,31.5,0.346,100.0,100.0,100.0
Negeri Sembilan,Port Dickson,2019-01-01,6393,4959,2019,4.3,10.0,0.378,100.0,100.0,100.0
Negeri Sembilan,Port Dickson,2022-01-01,6054,4805,2022,4.9,13.8,0.345,100.0,100.0,100.0
Negeri Sembilan,Rembau,2019-01-01,5163,4135,2019,5.7,20.8,0.362,98.5,100.0,100.0
Negeri Sembilan,Rembau,2022-01-01,5544,4655,2022,3.0,19.0,0.344,100.0,100.0,100.0
Negeri Sembilan,Seremban,2019-01-01,7611,5599,2019,3.2,7.9,0.386,99.9,100.0,100.0
Negeri Sembilan,Seremban,2022-01-01,7900,6384,2022,3.0,7.5,0.354,100.0,100.0,100.0
Negeri Sembilan,Tampin,2019-01-01,5786,4332,2019,4.8,18.6,0.386,100.0,100.0,100.0
Negeri Sembilan,Tampin,2022-01-01,5097,4012,2022,7.3,21.5,0.347,100.0,100.0,100.0
Pahang,Bentong,2019-01-01,5300,4220,2019,3.3,3.9,0.284,99.5,100.0,100.0
Pahang,Bentong,2022-01-01,5563,4691,2022,2.8,0.0,0.244,98.9,100.0,100.0
Pahang,Bera,2019-01-01,4566,3636,2019,2.9,8.5,0.29,99.4,100.0,100.0
Pahang,Bera,2022-01-01,4567,3866,2022,8.5,10.0,0.256,98.7,100.0,100.0
Pahang,Cameron Highlands,2019-01-01,6576,5729,2019,0.4,1.3,0.273,96.1,100.0,100.0
Pahang,Cameron Highlands,2022-01-01,6265,5221,2022,1.9,0.0,0.272,94.5,100.0,100.0
Pahang,Jerantut,2019-01-01,4452,3781,2019,9.9,10.0,0.288,100.0,100.0,100.0
Pahang,Jerantut,2022-01-01,4537,3781,2022,8.6,15.3,0.29,97.4,100.0,100.0
Pahang,Kuantan,2019-01-01,7071,5654,2019,1.8,3.0,0.329,99.2,100.0,100.0
Pahang,Kuantan,2022-01-01,6938,5926,2022,4.1,5.0,0.306,99.9,100.0,100.0
Pahang,Lipis,2019-01-01,4504,3646,2019,5.8,8.4,0.292,98.0,100.0,100.0
Pahang,Lipis,2022-01-01,4959,4115,2022,9.2,8.6,0.28,84.3,91.12,93.5
Pahang,Maran,2019-01-01,4678,3671,2019,6.4,8.4,0.313,97.3,99.67,100.0
Pahang,Maran,2022-01-01,5036,4319,2022,8.8,12.1,0.288,100.0,100.0,100.0
Pahang,Pekan,2019-01-01,5026,4092,2019,6.6,8.9,0.317,92.5,100.0,100.0
Pahang,Pekan,2022-01-01,4780,4053,2022,11.6,15.4,0.303,96.7,100.0,100.0
Pahang,Raub,2019-01-01,5005,3805,2019,4.7,3.9,0.313,90.0,100.0,100.0
Pahang,Raub,2022-01-01,5445,4375,2022,2.3,1.1,0.257,100.0,100.0,100.0
Pahang,Rompin,2019-01-01,4641,3579,2019,6.7,6.3,0.295,96.3,100.0,100.0
Pahang,Rompin,2022-01-01,5103,4148,2022,12.0,14.9,0.329,97.0,98.27,97.8
Pahang,Temerloh,2019-01-01,5205,4173,2019,6.1,10.2,0.323,100.0,100.0,100.0
Pahang,Temerloh,2022-01-01,5180,4283,2022,6.6,8.7,0.291,100.0,100.0,100.0
Perak,Bagan Datuk,2019-01-01,5705,4503,2019,6.4,11.0,0.364,100.0,100.0,100.0
Perak,Bagan Datuk,2022-01-01,5160,4076,2022,12.4,19.8,0.361,100.0,100.0,100.0
Perak,Batang Padang,2019-01-01,5637,4067,2019,7.1,12.6,0.394,99.4,100.0,100.0
Perak,Batang Padang,2022-01-01,5178,3953,2022,13.3,18.1,0.37,94.9,100.0,100.0
Perak,Hilir Perak,2019-01-01,4783,3484,2019,12.0,16.5,0.369,99.6,100.0,100.0
Perak,Hilir Perak,2022-01-01,5203,4199,2022,14.8,22.3,0.39,100.0,100.0,100.0
Perak,Hulu Perak,2019-01-01,4554,3532,2019,12.9,19.2,0.354,96.6,99.66,99.7
Perak,Hulu Perak,2022-01-01,4891,3467,2022,16.3,18.5,0.399,95.4,100.0,100.0
Perak,Kampar,2019-01-01,4845,3821,2019,7.0,16.7,0.359,99.9,100.0,100.0
Perak,Kampar,2022-01-01,5087,4347,2022,4.7,10.3,0.306,98.7,100.0,100.0
Perak,Kerian,2019-01-01,5532,4512,2019,6.0,8.3,0.306,100.0,100.0,100.0
Perak,Kerian,2022-01-01,5276,3996,2022,8.7,18.9,0.364,100.0,100.0,100.0
Perak,Kinta,2019-01-01,6120,4556,2019,4.9,9.9,0.4,99.8,100.0,100.0
Perak,Kinta,2022-01-01,6308,5037,2022,3.8,9.4,0.358,100.0,100.0,100.0
Perak,Kuala Kangsar,2019-01-01,5156,3875,2019,10.6,14.4,0.387,99.7,100.0,100.0
Perak,Kuala Kangsar,2022-01-01,5176,3813,2022,13.0,17.2,0.391,99.6,100.0,100.0
Perak,Larut dan Matang,2019-01-01,5364,4345,2019,7.9,8.3,0.325,97.8,100.0,99.8
Perak,Larut dan Matang,2022-01-01,5400,4029,2022,9.2,14.4,0.365,97.6,100.0,100.0
Perak,Manjung,2019-01-01,6137,4636,2019,6.9,8.8,0.383,99.9,100.0,100.0
Perak,Manjung,2022-01-01,6318,5135,2022,3.8,11.1,0.354,100.0,100.0,100.0
Perak,Muallim,2019-01-01,5488,3915,2019,11.6,14.2,0.391,100.0,100.0,100.0
Perak,Muallim,2022-01-01,6122,5015,2022,9.2,14.8,0.359,100.0,100.0,100.0
Perak,Perak Tengah,2019-01-01,5390,4097,2019,10.0,14.2,0.373,99.8,100.0,100.0
Perak,Perak Tengah,2022-01-01,5956,4564,2022,11.1,17.3,0.391,100.0,100.0,100.0
Perak,Selama,2022-01-01,4439,3673,2022,5.3,18.9,0.299,,,
Perlis,Perlis,2019-01-01,5476,4594,2019,3.9,12.0,0.334,99.6,100.0,100.0
Perlis,Perlis,2022-01-01,5664,4713,2022,4.0,12.6,0.336,100.0,100.0,100.0
Pulau Pinang,Barat Daya,2019-01-01,8393,6576,2019,1.0,10.8,0.361,100.0,100.0,100.0
Pulau Pinang,Barat Daya,2022-01-01,9254,7247,2022,1.4,9.0,0.357,100.0,100.0,100.0
Pulau Pinang,Seberang Perai Selatan,2019-01-01,6843,5797,2019,2.1,15.3,0.323,100.0,100.0,100.0
Pulau Pinang,Seberang Perai Selatan,2022-01-01,7472,6231,2022,3.1,18.2,0.36,100.0,100.0,100.0
Pulau Pinang,Seberang Perai Tengah,2019-01-01,7457,5849,2019,2.3,16.9,0.367,99.9,100.0,99.9
Pulau Pinang,Seberang Perai Tengah,2022-01-01,8056,6220,2022,2.4,16.6,0.377,99.9,100.0,99.9
Pulau Pinang,Seberang Perai Utara,2019-01-01,6914,5566,2019,4.6,18.1,0.359,99.8,100.0,100.0
Pulau Pinang,Seberang Perai Utara,2022-01-01,7330,6103,2022,3.7,18.7,0.35,100.0,100.0,100.0
Pulau Pinang,Timur Laut,2019-01-01,8493,6902,2019,0.5,8.6,0.356,100.0,99.86,100.0
Pulau Pinang,Timur Laut,2022-01-01,8727,6714,2022,0.7,14.5,0.38,100.0,100.0,100.0
Sabah,Beaufort,2019-01-01,4861,3765,2019,21.0,19.1,0.362,89.5,99.64,99.6
